kind,entityType,entityId,sku,actionType,currentBid,suggestedBid,text,campaignName,groupName,campaignId,adGroupId,accountId,siteId,spend30,clicks30,orders30,acos30,spend7,clicks7,orders7,acos7,reasonCode,hit,habit,marketBucket,reopenRule,priority
kw,keyword,200774783613890,KY1342,bid,0.23,0.08,picture rose,rose wall painting ky1342-system,rose wall painting ky1342-system,99073626585537,163194665747870,196,4,2.3,10,0,,0.46,2,0,,no_order_bid_down,30d_zero_order clicks=10 spend=2.30,kw_zero_order_or_high_acos_not_stopped,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,354
kw,keyword,34721921342297,KY1342,bid,0.23,0.08,red & black bathroom decor,rose wall painting ky1342-system,rose wall painting ky1342-system,99073626585537,163194665747870,196,4,2.3,10,0,,0.69,3,0,,no_order_bid_down,30d_zero_order clicks=10 spend=2.30,kw_zero_order_or_high_acos_not_stopped,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,355
auto,autoTarget,512159980844262,HL4017,pause,0.21,,Close-match,auto_spikes mat_hl4017,auto_spikes mat_hl4017,520006521528974,336910146282751,117,4,2.3,11,0,,1.46,7,0,,residual_30d_zero_order_hard_stop,7d_zero_order clicks=7 spend=1.46,auto_zero_order_not_closed,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,356
kw,keyword,500685891186089,BIO0027,pause,0.26,,32 oz deli containers with lids,kw_deli containers with lids_bio0027,kw_deli containers with lids_bio0027,551928504524650,458867356826468,615,4,2.29,9,0,,2.07,8,0,,cooldown_override_30d_zero_order_hard_stop,7d_zero_order clicks=8 spend=2.07,kw_zero_order_or_high_acos_not_stopped,storage_food_container_broad_fit_gap,do_not_reopen_without_fresh_market_and_exact_conversion_proof,357
auto,autoTarget,390141394589664,HAY0218,bid,0.23,0.13,Close-match,auto_cruise ship ducks_hay0218,auto_cruise ship ducks_hay0218,541079863156031,551510501740858,546,4,2.29,9,0,,0.23,1,0,,no_order_bid_down,30d_zero_order clicks=9 spend=2.29,auto_zero_order_not_closed,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,358
kw,keyword,556349215793188,KV3640,bid,0.51,0.05,gifts for kids with a broken arm,kw_walkingstickbear_kv3640,kw_normal,294111359277275,379255345865366,357,4,2.28,4,0,,2.28,4,0,,cooldown_override_7d_zero_order_heavy_cut,7d_zero_order clicks=4 spend=2.28,kw_zero_order_or_high_acos_not_stopped,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,359
manual,manualTarget,134277972399543,SSU4939,bid,1.14,0.11,asinExpandedFrom=B0D73MRZV9,asin expanded_clear garment bag_ssu4939,asin expanded_clear garment bag_ssu4939,231002375068536,276173648502296,432,4,2.28,2,0,,2.28,2,0,,cooldown_override_7d_zero_order_heavy_cut,7d_zero_order clicks=2 spend=2.28,asin_or_manual_expansion_unverified,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,360
sbKw,sbKeyword,17681598801805,XUE2224,bid,0.27,0.25,hanging wire basket,sbv kw_hanging metal basket_xue2224,,116547456288944,526550375743828,707,4,2.25,8,0,,0.63,2,0,,no_order_bid_down,30d_zero_order clicks=8 spend=2.25,sbv_or_sb_keyword_spend_not_closed,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,361
sbKw,sbKeyword,138148115559678,STY6101,pause,0.3,,flower centerpieces for tables,sbv kw broad_boho baby shower decor_sty6101,,199171655647244,462073236435555,867,4,2.23,8,0,,2.23,8,0,,cooldown_override_30d_zero_order_hard_stop,7d_zero_order clicks=8 spend=2.23,sbv_or_sb_keyword_spend_not_closed,baby_shower_party_competition_fit_gap,do_not_reopen_without_fresh_market_and_exact_conversion_proof,362
manual,manualTarget,553829944970031,GM2628,bid,0.25,0.15,asinExpandedFrom=B0CMQDV645,asin_ christian necklace gifts_gm2628,asin_ christian necklace gifts_gm2628,329225581339708,500885213153139,311,4,2.15,9,0,,0.5,2,0,,no_order_bid_down,30d_zero_order clicks=9 spend=2.15,asin_or_manual_expansion_unverified,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,363
auto,autoTarget,413354605580541,BOY3171,pause,0.22,,Loose-match,auto_babyshowerbags_boy3171,auto_babyshowerbags_boy3171,381500637594920,375534091581271,84,4,2.12,14,2,0.056412,1.34,7,0,,cooldown_override_15d_zero_order_hard_stop,7d_zero_order clicks=7 spend=1.34,auto_loose_or_substitutes_uncontrolled,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,364
auto,autoTarget,425996595805267,YAN2278,pause,0.1,,Complements,auto_baby shower games boy_yan2278,auto_baby shower games boy_yan2278,268439054249692,462820465028833,423,4,2.1,21,0,,0.7,7,0,,residual_30d_zero_order_hard_stop,7d_zero_order clicks=7 spend=0.70,auto_zero_order_not_closed,baby_shower_party_competition_fit_gap,do_not_reopen_without_fresh_market_and_exact_conversion_proof,365
manual,manualTarget,81413108600199,LRU1537,bid,0.3,0.2,asinExpandedFrom=B0CM2XSSLC,asin_bear paper plates napkins_lru1537,asin_bear paper plates napkins_lru1537,259292567490993,50423870750656,518,4,2.1,8,0,,0,0,0,,no_order_bid_down,30d_zero_order clicks=8 spend=2.10,asin_or_manual_expansion_unverified,baby_shower_party_competition_fit_gap,do_not_reopen_without_fresh_market_and_exact_conversion_proof,366
kw,keyword,513744244663937,EY2727,bid,0.26,0.16,girls trip beach hats,kw_straw sun hats for women_ey2727,kw_straw sun hats for women_ey2727,469229426382386,345385054316301,295,4,2.08,8,0,,0.78,3,0,,no_order_bid_down,30d_zero_order clicks=8 spend=2.08,kw_zero_order_or_high_acos_not_stopped,hat_cowboy_generic_intent_gap,do_not_reopen_without_fresh_market_and_exact_conversion_proof,367
auto,autoTarget,516385101055873,LAY2384,pause,0.29,,Substitutes,auto2_american flag bracelets_lay2384,auto2_american flag bracelets_lay2384,413109459685356,526490182292680,514,4,2.07,8,0,,1.92,7,0,,cooldown_override_30d_zero_order_hard_stop,7d_zero_order clicks=7 spend=1.92,auto_loose_or_substitutes_uncontrolled,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,368
auto,autoTarget,63518416072904,SH0424,bid,0.26,0.16,Loose-match,umbrella hat sh0424-a,umbrella hat sh0424-a,89239274927936,257854713012618,49,4,2.06,8,0,,0.52,2,0,,no_order_bid_down,15d_zero_order clicks=8 spend=2.06,auto_loose_or_substitutes_uncontrolled,hat_cowboy_generic_intent_gap,do_not_reopen_without_fresh_market_and_exact_conversion_proof,369
sbKw,sbKeyword,271946019407558,STY6101,bid,0.3,0.25,bear centerpieces,sbv kw broad_boho baby shower decor_sty6101,,199171655647244,462073236435555,867,4,2.02,7,0,,2.02,7,0,,cooldown_override_30d_zero_order_heavy_cut,7d_zero_order clicks=7 spend=2.02,sbv_or_sb_keyword_spend_not_closed,baby_shower_party_competition_fit_gap,do_not_reopen_without_fresh_market_and_exact_conversion_proof,370
manual,manualTarget,402678236219675,LUO0914,bid,0.45,0.05,asin=B0FCS8JZHF,asin_bottle chug baby shower_luo0914,asin_bottle chug baby shower_luo0914,335705820080530,316214288326796,700,4,2.01,3,0,,2.01,3,0,,cooldown_override_7d_zero_order_heavy_cut,7d_zero_order clicks=3 spend=2.01,asin_or_manual_expansion_unverified,baby_shower_party_competition_fit_gap,do_not_reopen_without_fresh_market_and_exact_conversion_proof,371
kw,keyword,211608307163385,RU2411,bid,0.4,0.04,dental office decor,ai_kw phrase_dental office decor_ru2411,ai_kw phrase_dental office decor_ru2411,84693254688211,267049333846584,286,4,2,5,0,,2,5,0,,cooldown_override_30d_zero_order_heavy_cut,7d_zero_order clicks=5 spend=2.00,phrase_kw_not_stopped_at_7_15d,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,372
auto,autoTarget,294808918875785,HOS0946,bid,0.19,0.09,Close-match,auto_q2 profit hos0946 auto_hos0946,auto_q2 profit hos0946 auto_hos0946,113812876774054,535620944654740,835,4,1.98,9,0,,0,0,0,,no_order_bid_down,30d_zero_order clicks=9 spend=1.98,auto_zero_order_not_closed,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,373
auto,autoTarget,352873836599142,SHQ2216,bid,0.17,0.02,Loose-match,auto2_wooddiycars_shq2216,auto2_wooddiycars_shq2216,510179403043501,522361825288143,803,4,1.97,12,0,,0.37,3,0,,no_order_bid_down,30d_zero_order clicks=12 spend=1.97,auto_loose_or_substitutes_uncontrolled,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,374
auto,autoTarget,335787057393294,AE2139,pause,0.13,,Loose-match,auto ud_1q clearstorage_ae2139,storage containers with lid ae2139-a ud,538422873667636,349143082672831,195,4,1.97,11,0,,1.29,7,0,,residual_30d_zero_order_hard_stop,7d_zero_order clicks=7 spend=1.29,auto_loose_or_substitutes_uncontrolled,storage_food_container_broad_fit_gap,do_not_reopen_without_fresh_market_and_exact_conversion_proof,375
auto,autoTarget,380150461105378,NO5155,pause,0.15,,Close-match,auto_q2 profit no5155 auto_no5155,auto_q2 profit no5155 auto_no5155,253095158358940,307526235654135,277,4,1.92,13,0,,0.15,1,0,,no_order_hard_stop,30d_zero_order clicks=13 spend=1.92,auto_zero_order_not_closed,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,376
auto,autoTarget,395337836117912,DAY2990,bid,0.17,0.02,Loose-match,auto_q2 profit day2990 auto_day2990,auto_q2 profit day2990 auto_day2990,198355039697238,305956255644336,429,4,1.91,10,0,,0.34,2,0,,no_order_bid_down,30d_zero_order clicks=10 spend=1.91,auto_loose_or_substitutes_uncontrolled,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,377
auto,autoTarget,559425734887716,SEV0979,bid,0.07,0.02,Loose-match,auto_bee baby shower_sev0979,auto_bee baby shower_sev0979,316668875152566,473682564378164,445,4,1.91,33,4,0.023304,0.48,7,0,,cooldown_override_7d_zero_order_heavy_cut,7d_zero_order clicks=7 spend=0.48,auto_loose_or_substitutes_uncontrolled,baby_shower_party_competition_fit_gap,do_not_reopen_without_fresh_market_and_exact_conversion_proof,378
auto,autoTarget,380916259686885,SAN0383,bid,0.24,0.14,Substitutes,auto_cowhat&band_san0383,auto_normal,476330109242192,390523590523609,528,4,1.91,8,0,,0,0,0,,no_order_bid_down,30d_zero_order clicks=8 spend=1.91,auto_loose_or_substitutes_uncontrolled,hat_cowboy_generic_intent_gap,do_not_reopen_without_fresh_market_and_exact_conversion_proof,379
auto,autoTarget,413996890089030,WE3925,bid,0.2,0.05,Complements,auto_q2 profit we3925 auto_we3925,auto_q2 profit we3925 auto_we3925,58430562237759,302680085201311,287,4,1.9,11,0,,0.85,5,0,,no_order_bid_down,15d_zero_order clicks=11 spend=1.90,auto_zero_order_not_closed,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,380
kw,keyword,208858636328560,SHQ3375,bid,0.24,0.14,paintable cars for babyshower,kw_wooden cars to paint_shq3375,wooden cars to paint-shq3375-system-keyword,385540203435967,408062092082999,803,4,1.89,9,0,,0.24,1,0,,no_order_bid_down,30d_zero_order clicks=9 spend=1.89,kw_zero_order_or_high_acos_not_stopped,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,381
auto,autoTarget,291918533910405,RT3172,pause,0.2,,Complements,auto_ baby shower banner_rt3172,auto_ baby shower banner_rt3172,469601602986814,346973344139489,168,4,1.89,10,0,,1.29,7,0,,residual_30d_zero_order_hard_stop,7d_zero_order clicks=7 spend=1.29,auto_zero_order_not_closed,baby_shower_party_competition_fit_gap,do_not_reopen_without_fresh_market_and_exact_conversion_proof,382
sbKw,sbKeyword,440358590329064,SAN0383,bid,0.29,0.19,cowboy party hats,sb kw_cowhat&band_san0383 san0113 san0384,,349174959480081,322688305331136,528,4,1.88,8,0,,0.45,2,0,,no_order_bid_down,30d_zero_order clicks=8 spend=1.88,sbv_or_sb_keyword_spend_not_closed,hat_cowboy_generic_intent_gap,do_not_reopen_without_fresh_market_and_exact_conversion_proof,383
auto,autoTarget,306092627818204,LEM5778,pause,0.15,,Substitutes,auto_b0gbxvh5z8_lem5778,auto_b0gbxvh5z8_lem5778,241427471937940,459275457597676,853,4,1.83,13,0,,1.11,8,0,,residual_30d_zero_order_hard_stop,7d_zero_order clicks=8 spend=1.11,auto_loose_or_substitutes_uncontrolled,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,384
auto,autoTarget,465576661510834,HEL0606,pause,0.09,,Substitutes,auto_turtle keychain_hel0606,auto_turtle keychain_hel0606,390138790713339,417977828320658,487,4,1.83,19,0,,0.09,1,0,,no_order_hard_stop,30d_zero_order clicks=19 spend=1.83,auto_loose_or_substitutes_uncontrolled,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,385
auto,autoTarget,338659923032225,GRA5177,bid,0.2,0.1,Loose-match,auto_q2 profit gra5177 auto_gra5177,auto_q2 profit gra5177 auto_gra5177,254797360486578,288242491268176,497,4,1.76,9,0,,0.6,3,0,,no_order_bid_down,30d_zero_order clicks=9 spend=1.76,auto_loose_or_substitutes_uncontrolled,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,386
sbKw,sbKeyword,544411345170135,SAN0383,bid,0.22,0.12,cowboy hats,sb kw_cowhat&band_san0383 san0113 san0384,,349174959480081,322688305331136,528,4,1.72,9,0,,0.88,5,0,,no_order_bid_down,15d_zero_order clicks=8 spend=1.54,sbv_or_sb_keyword_spend_not_closed,hat_cowboy_generic_intent_gap,do_not_reopen_without_fresh_market_and_exact_conversion_proof,387
manual,manualTarget,428114555127504,SE7586,bid,0.21,0.11,asinExpandedFrom=B0BMVFR7GH,asin_bear clothes basic tee_se7586,asin_bear clothes basic tee_se7586,539613216906548,484761952853500,150,4,1.68,8,0,,1.05,5,0,,no_order_bid_down,30d_zero_order clicks=8 spend=1.68,asin_or_manual_expansion_unverified,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,388
auto,autoTarget,366520793067982,NO5155,bid,0.16,0.02,Substitutes,auto_q2 profit no5155 auto_no5155,auto_q2 profit no5155 auto_no5155,253095158358940,307526235654135,277,4,1.6,10,0,,0.64,4,0,,no_order_bid_down,30d_zero_order clicks=10 spend=1.60,auto_loose_or_substitutes_uncontrolled,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,389
auto,autoTarget,332814256214910,UAN2600,bid,0.1,0.08,Loose-match,auto_journals in bulk_uan2600,auto_journals in bulk_uan2600,453571228298432,458417310723375,515,4,1.55,16,1,0.129274,0.45,5,0,,persistently_low_small_step,15d_zero_order clicks=8 spend=0.75,auto_loose_or_substitutes_uncontrolled,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,390
auto,autoTarget,399927308965828,SEV0979,bid,0.04,0.02,Substitutes,auto_bee baby shower_sev0979,auto_bee baby shower_sev0979,316668875152566,473682564378164,445,4,1.52,33,2,0.036207,0.2,5,0,,persistently_low_small_step,15d_zero_order clicks=8 spend=0.32,auto_loose_or_substitutes_uncontrolled,baby_shower_party_competition_fit_gap,do_not_reopen_without_fresh_market_and_exact_conversion_proof,391
sbKw,sbKeyword,58430499784881,CLO0344,bid,0.2,0.1,jewelry stand organizer,sbkw_rotating bracelet display stand_clo0344 clo0341 clo0343,,200659595040115,298572935069155,624,4,1.51,9,0,,0.69,4,0,,no_order_bid_down,30d_zero_order clicks=9 spend=1.51,sbv_or_sb_keyword_spend_not_closed,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,392
